"","topDirector","topActor","CastGenderAVG","budget","popularity","revenue","runtime","vote_average","vote_count","holiday_month","num_lang","original_isEnglish","country_USA","country_UK","country_Germany","country_France","country_Canada","country_Austr","genre_Action","genre_Adventure","genre_Fantasy","genre_Science Fiction","genre_Crime","genre_Drama","genre_Thriller","genre_Animation","genre_Family","genre_Western","genre_Comedy","genre_Romance","genre_Horror","genre_Mystery","genre_History","genre_War","genre_Music","genre_Documentary","genre_Foreign","genre_TV Movie"
"1",1,0,1.625,237000000,150.437577,2787965087,162,7.2,11800,1,2,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,1,1.83333333333333,300000000,139.082615,9.61e+08,169,6.9,4500,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,1,1.80882352941176,245000000,107.376788,880674609,148,6.3,4466,0,5,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1,1,1.86904761904762,250000000,112.31295,1084939099,165,7.6,9106,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,1,1.76,260000000,43.926995,284139100,132,6.1,2124,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,1,1.37078651685393,258000000,115.699814,890871626,139,5.9,3576,1,2,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,1.8,260000000,48.681969,591794936,100,7.4,3330,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"8",1,1,1.66666666666667,280000000,134.279229,1405403694,141,7.3,6767,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,1.58536585365854,250000000,98.885637,933959197,153,7.4,5293,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"10",0,1,1.67741935483871,250000000,155.790452,873260194,151,5.7,7004,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,1,1.66666666666667,270000000,57.925623,391081192,154,5.4,1400,1,3,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,1.66666666666667,200000000,107.928811,586090727,106,6.1,2965,0,5,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,1,1.86206896551724,200000000,145.847379,1065659812,151,7,5246,1,4,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,1,1.84615384615385,255000000,49.046956,89289910,149,5.9,2311,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"15",0,1,1.71428571428571,225000000,99.398009,662845518,143,6.5,6359,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
