Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0000158,2016-07-12,2016-07-12,,Tom Hanks,Cast Away,1956-07-09
2,nm0000658,2016-07-12,2016-07-12,,Meryl Streep,Out of Africa,1949-06-22
3,nm0000138,2016-07-12,2016-07-12,,Leonardo DiCaprio,Inception,1974-11-11
4,nm0000243,2016-07-12,2016-07-12,,Denzel Washington,Fences,1954-12-28
5,nm0000151,2016-07-12,2016-07-12,,Morgan Freeman,Se7en,1937-06-01
6,nm0000576,2016-07-12,2016-07-12,,Sean Penn,Mystic River,1960-08-17
7,nm0000288,2016-07-12,2016-07-12,,Christian Bale,The Dark Knight,1974-01-30
8,nm0000134,2016-07-12,2016-07-12,,Robert De Niro,Raging Bull,1943-08-17
9,nm2225369,2016-07-12,2016-07-12,,Jennifer Lawrence,The Hunger Games,1990-08-15
10,nm0000228,2016-07-12,2016-07-12,,Kevin Spacey,The Usual Suspects,1959-07-26
11,nm0000949,2016-07-12,2016-07-12,,Cate Blanchett,Carol,1969-05-14
12,nm0000190,2016-07-12,2016-07-12,,Matthew McConaughey,Dallas Buyers Club,1969-11-04
13,nm0488953,2016-07-12,2016-07-12,,Brie Larson,Room,1989-10-01
14,nm1055413,2016-07-12,2016-07-12,,Michael Fassbender,Shame,1977-04-02
15,nm0001467,2016-07-12,2016-07-12,,Jared Leto,Dallas Buyers Club,1971-12-26
16,nm0000701,2016-07-12,2016-07-12,,Kate Winslet,Titanic,1975-10-05
17,nm0010736,2016-07-12,2016-07-12,,Amy Adams,Arrival,1974-08-20
18,nm1519666,2016-07-12,2016-07-12,,Eddie Redmayne,Les Misérables,1982-01-06
19,nm0931329,2016-07-12,2016-07-12,,Michelle Williams,Blue Valentine,1980-09-09
20,nm0000147,2016-07-29,2016-07-29,,Colin Firth,A Single Man,1960-09-10
21,nm0000123,2016-07-12,2016-07-12,,George Clooney,Up in the Air,1961-05-06
22,nm0000194,2016-07-16,2016-07-16,,Julianne Moore,The Hours,1960-12-03
23,nm0000354,2016-07-12,2016-07-12,,Matt Damon,Good Will Hunting,1970-10-08
24,nm0000164,2016-07-16,2016-07-16,,Anthony Hopkins,The Silence of the Lambs,1937-12-31
25,nm0177896,2016-07-12,2016-07-12,,Bradley Cooper,Silver Linings Playbook,1975-01-05
26,nm0910607,2016-07-12,2016-07-12,,Christoph Waltz,Django Unchained,1956-10-04
27,nm0252230,2016-07-12,2016-07-12,,Chiwetel Ejiofor,12 Years a Slave,1977-07-10
28,nm0001125,2016-07-12,2016-07-12,,Benicio Del Toro,Sicario,1967-02-19
29,nm0205626,2016-07-12,2016-07-12,,Viola Davis,Fences,1965-08-11
30,nm0186505,2016-07-12,2016-07-12,,Bryan Cranston,Breaking Bad,1956-03-07
31,nm0000849,2016-07-12,2016-07-12,,Javier Bardem,Skyfall,1969-03-01
32,nm2539953,2016-07-12,2016-07-12,,Alicia Vikander,Ex Machina,1988-10-03
33,nm0136797,2016-07-12,2016-07-12,,Steve Carell,The Office,1962-08-16
34,nm0004937,2016-07-12,2016-07-12,,Jamie Foxx,Django Unchained,1967-12-13
35,nm1567113,2016-07-12,2016-07-12,,Jessica Chastain,Zero Dark Thirty,1977-03-24
36,nm0362766,2016-07-12,2016-07-12,,Tom Hardy,Inception,1977-09-15
37,nm0000234,2016-07-12,2016-07-12,,Charlize Theron,Monster,1975-08-07
38,nm0753314,2016-07-12,2016-07-12,,Mark Rylance,Bridge of Spies,1960-01-18
39,nm1297015,2016-07-12,2016-07-12,,Emma Stone,La La Land,1988-11-06
40,nm0000474,2016-07-12,2016-07-12,,Michael Keaton,Birdman or (The Unexpected Virtue of Ignorance),1951-09-05
41,nm0000136,2016-07-29,2016-07-29,,Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl,1963-06-09
42,nm0799777,2016-07-29,2016-07-29,,J.K. Simmons,Whiplash,1955-01-09
43,nm0000375,2016-07-16,2016-07-16,,Robert Downey Jr.,Iron Man,1965-04-04
44,nm0000198,2016-07-16,2016-07-16,,Gary Oldman,Tinker Tailor Soldier Spy,1958-03-21
45,nm0004266,2016-07-12,2016-07-12,,Anne Hathaway,Les Misérables,1982-11-12
46,nm0000173,2016-07-16,2016-07-16,,Nicole Kidman,Moulin Rouge!,1967-06-20
47,nm0001838,2016-07-12,2016-07-12,,Rachel Weisz,The Constant Gardener,1970-03-07
48,nm0000168,2016-07-12,2016-07-12,,Samuel L. Jackson,Pulp Fiction,1948-12-21
49,nm0719637,2016-07-16,2016-07-16,,Jeremy Renner,The Hurt Locker,1971-01-07
50,nm0915208,2016-07-12,2016-07-12,,Naomi Watts,Mulholland Dr.,1968-09-28
51,nm0001845,2016-07-12,2016-07-12,,Forest Whitaker,The Last King of Scotland,1961-07-15
52,nm0000313,2016-07-16,2016-07-16,,Jeff Bridges,The Big Lebowski,1949-12-04
53,nm0331516,2016-07-12,2016-07-12,,Ryan Gosling,Blue Valentine,1980-11-12
54,nm1212722,2016-07-12,2016-07-12,,Benedict Cumberbatch,The Imitation Game,1976-07-19
55,nm0252961,2016-07-12,2016-07-12,,Idris Elba,Beasts of No Nation,1972-09-06
56,nm0000332,2016-07-12,2016-07-12,,Don Cheadle,Crash,1964-11-29
57,nm0749263,2016-07-12,2016-07-12,,Mark Ruffalo,The Avengers,1967-11-22
58,nm0350453,2016-07-29,2016-07-29,,Jake Gyllenhaal,Nightcrawler,1980-12-19
59,nm1659547,2016-07-12,2016-07-12,,Carey Mulligan,Never Let Me Go,1985-05-28
60,nm0000169,2016-07-12,2016-07-12,,Tommy Lee Jones,The Fugitive,1946-09-15
61,nm0000437,2016-07-12,2016-07-12,,Woody Harrelson,True Detective,1961-07-23
62,nm0000380,2016-07-16,2016-07-16,,Robert Duvall,The Apostle,1931-01-05
63,nm0000323,2016-07-12,2016-07-12,,Michael Caine,The Prestige,1933-03-14
64,nm0000128,2016-07-12,2016-07-12,,Russell Crowe,Les Misérables,1964-04-07
65,nm0000209,2016-07-12,2016-07-12,,Tim Robbins,Mystic River,1958-10-16
66,nm0000204,2016-07-12,2016-07-12,,Natalie Portman,Black Swan,1981-06-09
67,nm0000906,2016-07-16,2016-07-16,,Annette Bening,American Beauty,1958-05-29
68,nm0182839,2016-07-16,2016-07-16,,Marion Cotillard,La môme,1975-09-30
69,nm2143282,2016-07-12,2016-07-12,,Lupita Nyong'o,12 Years a Slave,1983-03-01
