Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0000229,2015-05-12,2015-05-12,"Known For: Jaws, E.T., Indiana Jones, Jurassic Park, Schindler's List, Saving Private Ryan, A.I. Artificial Intelligence, Minority Report, Catch Me If You Can, War Of The Worlds, Munich, War Horse, Lincoln

Upcoming Projects: Bridge Of Spies (2015), The BFG (2016), It's What I Do (TBA), Indiana Jones Reboot or Sequel (Rumor)",Steven Spielberg,Artificial Intelligence: AI,1946-12-18
2,nm0000217,2015-05-12,2015-05-12,"Known For: Taxi Driver, Raging Bull, The Color Of Money, The Last Temptation Of Christ, Goodfellas, The Age Of Innocence, Gangs Of New York, The Aviator, The Departed, Shutter Island, Hugo, The Wolf Of Wall Street

Upcoming Projects: Silence (2016), Sinatra (TBA)",Martin Scorsese,Taxi Driver,1942-11-17
3,nm0000233,2015-05-12,2015-05-12,"Known For: Reservoir Dogs, Pulp Fiction, Jackie Brown, Kill Bill Vol 1, Kill Bill Vol 2, Inglourious Basterds, Django Unchained

Upcoming Projects: The Hateful Eight (2015 or 2016)",Quentin Tarantino,Reservoir Dogs,1963-03-27
4,nm0634240,2015-05-12,2015-05-12,"Known For: Memento, Batman Begins, The Prestige, The Dark Knight, Inception, The Dark Knight Rises, Interstellar

Upcoming Projects: TBA",Christopher Nolan,The Prestige,1970-07-30
5,nm0000399,2015-05-12,2015-05-12,"Known For: Seven, The Game, Fight Club, Panic Room, Zodiac, The Curious Case Of Benjamin Button, The Social Network, The Girl With The Dragon Tattoo, Gone Girl

Upcoming Projects: TBA",David Fincher,Se7en,1962-08-28
6,nm0000116,2015-05-12,2015-05-12,"Known For: The Terminator, Aliens, T2: Judgement Day, Titanic, Avatar

Upcoming Projects: Avatar 2 (2017), Avatar 3 (2018), Avatar 4 (2019), Avatar 5 (Rumor)",James Cameron,Avatar,1954-08-16
7,nm0000631,2015-05-12,2015-05-12,"Known For: Alien, Blade Runner, Thelma & Louise, Gladiator, Hannibal, Black Hawk Down, Kingdom Of Heaven, American Gangster, Robin Hood, Prometheus, Exodus: Gods and Kings

Upcoming Projects: The Martian (2015)",Ridley Scott,The Martian,1937-11-30
8,nm0000759,2015-05-12,2015-05-12,"Known For: Hard Eight, Boogie Nights, Magnolia, Punch-Drunk Love, There Will Be Blood, The Master, Inherent Vice

Upcoming Projects: TBA",Paul Thomas Anderson,Punch-Drunk Love,1970-06-26
9,nm0001054,2015-05-12,2015-05-12,"Known For: Raising Arizona, Barton Fink, The Hudsucker Proxy, Fargo, The Big Lebowski, O Brother, Where Art Thou?, The Man Who Wasn't There, Intolerable Cruelty, No Country For Old Men, Burn After Reading, A Serious Man, True Grit, Inside Llewyn Davis

Upcoming Projects: Hail, Caesar! (2016)",Joel Coen,Fargo,1954-11-29
10,nm0001053,2015-05-12,2015-05-12,See Joel,Ethan Coen,A Serious Man,1957-09-21
11,nm0027572,2015-05-12,2015-05-12,"Known For: Bottle Rocket, Rushmore, The Royal Tenenbaums, The Darjeeling Limited, Fantastic Mr. Fox, Moonrise Kingdom, The Grand Budapest Hotel

Upcoming Projects: TBD",Wes Anderson,Fantastic Mr. Fox,1969-05-01
12,nm0000095,2015-05-12,2015-05-12,"Known For: Bananas, Sleeper, Love and Death, Annie Hall, Manhattan, Stardust Memories, Zelig, Broadway Danny Rose, The Purple Rose of Cairo, Hannah and Her Sisters, Crimes and Misdemeanors, Husbands and Wives, Bullets Over Broadway, Sweet and Lowdown, Vicky Cristina Barcelona, Midnight In Paris, Blue Jasmine

Upcoming Projects: Irrational Man (2015), Untitled Project (2016)",Woody Allen,Manhattan,1935-12-01
13,nm0083348,2015-05-12,2015-05-12,"Known For: The Iron Giant, The Incredibles, Ratatouille, Mission: Impossible - Ghost Protocol, Tomorrowland

Upcoming Projects: 1906 (TBA), The Incredibles 2 (TBA)",Brad Bird,The Incredibles,1957-09-24
14,nm0891216,2015-05-12,2015-05-12,"Known For: Layer Cake, Stardust, Kick-Ass, X-Men: First Class, Kingsman: The Secret Service

Upcoming: TBA",Matthew Vaughn,Kick-Ass,1971-03-07
15,nm0000165,2015-05-12,2015-05-12,"Known For: Cocoon, Willow, Parenthood, Far and Away, Apollo 13, EDtv, How The Grinch Stole Christmas, A Beautiful Mind, The Missing, Cinderella Man, The Da Vinci Code, Frost/Nixon, Angels & Demons, The Dilemma, Rush

Upcoming Projects: In The Heart Of The Sea (2015), Inferno (2016)",Ron Howard,Arrested Development,1954-03-01
16,nm0190859,2015-05-12,2015-05-12,"Known For: A Little Princess, Great Expectations, Y Tu Mama Tambien, Harry Potter and the Prisoner of Azkaban, Children of Men, Gravity

Upcoming: TBA",Alfonso Cuarón,Gravity,1961-11-28
17,nm0327944,2015-05-12,2015-05-12,"Known For: 21 Grams, Babel, Biutiful, Birdman

Upcoming: The Revenant (2015)",Alejandro G. Iñárritu,The Revenant,1963-08-15
18,nm0000500,2015-05-12,2015-05-12,"Known For: Slacker, Dazed and Confused, Before Sunrise, SubUrbia, The Newton Boys, School Of Rock, Before Sunset, Bad News Bears, A Scanner Darkly, Me and Orson Welles, Bernie, Before Midnight, Boyhood

Upcoming Projects: That's What I'm Talking About (2015)",Richard Linklater,Waking Life,1960-07-30
19,nm0269463,2015-05-12,2015-05-12,"Known For: Elf, Zathura: A Space Adventure, Iron Man, Iron Man 2, Cowboys & Aliens, Chef

Upcoming Projects: The Jungle Book (2016)",Jon Favreau,Chef,1966-10-19
20,nm0426059,2015-05-12,2015-05-12,"Known For: Brick, The Brothers Bloom, Looper

Upcoming Projects: Star Wars: Episode VIII (2017)",Rian Johnson,Looper,1973-12-17
21,nm0923736,2015-05-12,2015-05-12,"Known For: Buffy The Vampire Slayer (TV), Serenity, The Avengers, Much Ado About Nothing, Avengers: Age Of Ultron

Upcoming Projects: TBA",Joss Whedon,Buffy the Vampire Slayer,1964-06-23
22,nm0751102,2015-05-12,2015-05-12,"Known For: Three Kings, I Heart Huckabees, The Fighter, Silver Linings Playbook, American Hustle, Accidental Love

Upcoming Projects: Joy (2015)",David O. Russell,American Hustle,1958-08-20
23,nm0587955,2015-05-12,2015-05-12,"Known For: Capote, Moneyball, Foxcatcher

Upcoming Projects: TBA",Bennett Miller,Foxcatcher,1966-12-30
24,nm0000110,2015-05-12,2015-05-12,"Known For: Much Ado About Nothing, Mary Shelley's Frankenstein, Hamlet, Sleuth, Thor, Jack Ryan: Shadow Recruit, Cinderella

Upcoming Projects: TBA",Kenneth Branagh,Henry V,1960-12-10
25,nm0716257,2015-05-12,2015-05-12,"Known For: Cloverfield, Let Me In, Dawn of the Planet of the Apes

Upcoming Projects: War of the Planet of the Apes (2017)",Matt Reeves,Let Me In,1966-04-27
26,nm0000520,2015-05-12,2015-05-12,"Known For: Manhunter, The Last of the Mohicans, Heat, The Insider, Ali, Collateral, Miami Vice, Public Enemies, Black Hat

Upcoming Projects: TBA",Michael Mann,The Insider,1943-02-05
27,nm0868219,2015-05-12,2015-05-12,"Known For: Mimic, The Devil's Backbone, Blade II, Hellboy, Pan's Labyrinth, Hellboy II: Golden Army, Pacific Rim

Upcoming Projects: Crimson Peak (2015), Pacific Rim 2 (2017), Pinocchio (TBA), Hellboy III (Rumor)",Guillermo del Toro,El laberinto del fauno,1964-10-09
28,nm0031976,2015-05-12,2015-05-12,"Known For: The 40-Year Old Virgin, Knocked Up, Funny People, This Is 40

Upcoming Projects: Trainwreck (2015)",Judd Apatow,Girls,1967-12-06
29,nm0000709,2015-05-12,2015-05-12,"Known For: Romancing The Stone, Back to the Future, Who Framed Roger Rabbit, Back to the Future Part II, Back to the Future Part III, Death Becomes Her, Forrest Gump, Contact, What Lies Beneath, Cast Away, The Polar Express, Beowulf, A Christmas Carol, Flight

Upcoming Projects: The Walk (2015)",Robert Zemeckis,Back to the Future,1952-05-14
30,nm2284484,2015-05-12,2015-05-12,"Known For: Monsters, Godzilla

Upcoming Projects: Star Wars: Anthology: Rogue One (2016), Godzilla 2 (2018)",Gareth Edwards,Monsters,1975-06-01
31,nm0009190,2015-05-12,2015-05-12,"Known For: Lost (TV), Mission: Impossible III, Star Trek, Super 8, Star Trek Into Darkness

Upcoming Projects: Star Wars: Episode VII: The Force Awakens (2015), Star Wars: Episode IX (Rumor)",J.J. Abrams,Lost,1966-06-27
32,nm0942367,2015-05-12,2015-05-12,"Known For: Shaun of the Dead, Hot Fuzz, Scott Pilgrim vs. The World, The World's End

Upcoming Projects: Baby Driver (TBA)",Edgar Wright,Shaun of the Dead,1974-04-18
33,nm0000941,2015-05-12,2015-05-12,"Known For: Point Break, Strange Days, K-19: The Widowmaker, The Hurt Locker, Zero Dark Thirty

Upcoming Projects: TBA",Kathryn Bigelow,The Hurt Locker,1951-11-27
34,nm2588606,2015-05-12,2015-05-13,"Known For: 12 Years A Slave

Upcoming Projects: TBA",Steve McQueen,12 Years a Slave,1969-10-09
35,nm3227090,2015-05-12,2015-05-13,"Known For: Whiplash

Upcoming Projects: La La Land (2016)",Damien Chazelle,La La Land,1985-01-19
36,nm1148550,2015-05-12,2015-05-13,"Known For: Selma

Upcoming Projects: Queen Sugar (TV), Black Panther (Rumor)",Ava DuVernay,Selma,1972-08-24
37,nm0307497,2015-05-12,2015-05-13,"Known For: Ex Machina

Upcoming Projects: Annihilation (TBA)",Alex Garland,Ex Machina,1970-05-26
